S.No,Type (QP-NOS /NOS/Expository),Sector,Name of the QP,QPRef.ID,NSQF Level,Contains Electives/Options,Number of Electives/ Options,Elective/Option Name,Compulsary NOS Count,Elective/Optional NOS count,Total No. of NOS,Version No.,Educational Qualification,Theory (hours) for Compulsory NOSs,Practical (hours) for Compulsory NOSs,Total Hours for Compulsory NOSs,Elective/Option Theory (hours),Elective/Option Practical (hours),GRAND TOTAL Minimum hours duration for QP,Mandatory OJT ,Recommended OJT ,Curriculum Available ,PH Available,FG Available,Job Roles in PMKVY 2.0,Job Roles in PMKVY 2.0 (9th SC Remarks),Job Roles in PMKVY 2.0 (2018-20),Job Roles Readiness for CSSM,Job Roles in PMKVY CSSM (FY 2018-20),89 Curriculum/Content,CSSM MES,Available on SMART Portal,QRC Approval Date,MC Approval/Upload Date,NSQC Approval Status,DLI Status,QP Uploaded on NSDC Website,NAPS Paired & Embedded QPs,QP Retirement Planned (Yes/Tentative),Retirement Announcement Date,Retirement Not Before Date,Remarks,
623,QP-NOS,Construction,Bar Bender and Steel Fixer ,CON/Q0203,4,,,,6,,6,1,5th Class,80,320,400,,,,,,Yes,Yes,Yes,Yes,Yes,,,Yes,,CON708,Yes,,,6th Meeting,,Trans National Standard - Under Public View,Paired QP 1,,,,,
624,QP-NOS,Construction,Reinforcement Fitter ,CON/Q0204,4,,,,5,,5,1,8th Class,172,428,600,,,,,,Yes,,,,,,,,,,No,,,6th Meeting,,National Occupational Standards,,,,,,
625,QP-NOS,Construction,Foreman Reinforcement ,CON/Q0205,5,,,,9,,9,1,10th Class,,,,,,,,,,,,,,,,,,,No,,,6th Meeting,,National Occupational Standards,Paired QP 2,,,,,
626,QP-NOS,Construction,Shuttering Carpenter- System,CON/Q0304,4,,,,6,,6,1,10th Class,80,320,400,,,,,,Yes,Yes,,Yes,Yes,,,Yes,,CON719,Yes,,,6th Meeting,,National Occupational Standards,,,,,,
627,QP-NOS,Construction,Foreman Formwork ,CON/Q0308,5,,,,10,,10,1,10th Class,,,,,,,,,,,,,,,,,,,No,,,6th Meeting,,National Occupational Standards,,,,,,
628,QP-NOS,Construction,Scaffolder - System,CON/Q0305,4,,,,5,,5,1,5th Class,84,320,404,,,,,,Yes,Yes,,,,,Cat 1 (Phase 1),Yes,,CON716,Yes,,,6th Meeting,,National Occupational Standards,,,,,,
629,QP-NOS,Construction,Assistant Electrician ,CON/Q0602,3,,,,7,,7,1,10th Class,110,290,400,,,,,,Yes,Yes,Yes,Yes,Yes,,,Yes,,,Yes,,,6th Meeting,WB2017-18,National Occupational Standards,Paired QP 1,,,,,
630,QP-NOS,Construction,Supervisor Structure,CON/Q0111,6,,,,10,,10,1,"12th Class ,Preferably ",504,60,564,,,,436,,Yes,,,,,,,,,,No,,,15th Meeting,,National Occupational Standards,,,,,,
631,QP-NOS,Construction,Supervisor Finishes,CON/Q0112,6,,,,9,,9,1,"12th Class ,Preferably ",,,,,,,,,,,,,,,,,,,No,,,22nd Meeting,,National Occupational Standards,,,,,,
632,QP-NOS,Construction,Quality Technician,CON/Q0403,6,,,,6,,6,1,"12th Class ,Preferably ",508,8,516,,,,500,,Yes,,,,,,,,,,No,,,18th Meeting,,National Occupational Standards,,,,,,
633,QP-NOS,Construction,Assistant Paint Inspector,CON/Q0407,5,,,,4,,4,1,10th Class ,,,,,,,,,,,,,,,,,,,No,,,22nd Meeting,,National Occupational Standards,,,,,,
634,QP-NOS,Construction,Supervisor - Electrical Works ,CON/Q0605,6,,,,4,,4,1,"12th Class ,Preferably and compulsorily having Low Voltage license from any Govt. recognized licensing authority",508,8,516,,,,500,,Yes,,,,,,,,,,No,,,18th Meeting,,National Occupational Standards,,,,,,
635,QP-NOS,Construction,Supervisor - Piling,CON/Q0710,6,,,,5,,5,1,"12th Class ,Preferably ",,,,,,,,,,,,,,,,,,,No,,,22nd Meeting,,National Occupational Standards,,,,,,
636,QP-NOS,Construction,Assistant Technician - Prestress,CON/Q0801,2,,,,5,,5,1,"8th Class ,Preferably ",,,,,,,,,,,,,,,,,,,No,,,18th Meeting,,National Occupational Standards,,,,,,
637,QP-NOS,Construction,Technician - Prestress,CON/Q0802,4,,,,6,,6,1,"10th Class ,Preferably ",,,,,,,,,,,,,,,,,,,No,,,18th Meeting,,National Occupational Standards,,,,,,
638,QP-NOS,Construction,Senior Technician - Prestress,CON/Q0803,6,,,,5,,5,1,"12th Class ,Preferably ",,,,,,,,,,,,,,,,,,,No,,,18th Meeting,,National Occupational Standards,,,,,,
639,QP-NOS,Construction,Assistant Surveyor,CON/Q0901,2,,,,3,,3,1,"5th Class ,Preferably",109,245,354,,,,,,Yes,Yes,,,,,,,,,Yes,,,12th Meeting,,National Occupational Standards,,,,,,
640,QP-NOS,Construction,Surveyor,CON/Q0902,6,,,,7,,7,1,"5th Class ,Preferably",500,175,675,,,,325,,Yes,,,,,,,,,CON718,Yes,,,18th Meeting,,National Occupational Standards,,,,,,
641,QP-NOS,Construction,Assistant Pavement Layer,CON/Q1001,2,,,,5,,5,1,"5th Class ,Preferably",,,,,,,,,,,,,,,,,,,Yes,,,12th Meeting,,National Occupational Standards,,,,,,
642,QP-NOS,Construction,Pavement Layer,CON/Q1002,4,,,,6,,6,1,"8th Class ,Preferably ",,,,,,,,,,,,,,,,,,,No,,,12th Meeting,,National Occupational Standards,,,,,,
643,QP-NOS,Construction,Foreman - Roads & Runways,CON/Q1003,5,,,,6,,6,1,"12th Class ,Preferably ",320,48,368,,,,432,,Yes,,,,,,,,,CON704,No,,,18th Meeting,,National Occupational Standards,,,,,,
644,QP-NOS,Construction,Supervisor - Roads & Runways,CON/Q1004,6,,,,5,,5,1,Graduate/ ITI Preferably (Construction related trade),500,50,550,,,,450,,Yes,,,,,,,,,,No,,,18th Meeting,,National Occupational Standards,,,,,,
645,QP-NOS,Construction,Helper Interior Finishes,CON/Q1101,1,,,,4,,4,1,"5th Class ,Preferably",,,,,,,,,,,,,,,,,,,No,,,12th Meeting,,National Occupational Standards,,,,,,
646,QP-NOS,Construction,Helper Façade Installer,CON/Q1102,1,,,,4,,4,1,"5th Class ,Preferably",,,,,,,,,,,,,,,,,,,No,,,12th Meeting,,National Occupational Standards,,,,,,
647,QP-NOS,Construction,Assistant False Ceiling and Drywall Installer,CON/Q1103,2,,,,6,,6,1,"5th Class ,Preferably",70,280,350,,,,,,Yes,,,,,,,,,,Yes,,,12th Meeting,,National Occupational Standards,,,,,,
648,QP-NOS,Construction,Assistant Façade Installer,CON/Q1104,2,,,,5,,5,1,"5th Class ,Preferably",70,280,350,,,,,,Yes,,,,,,,,,,No,,,12th Meeting,,National Occupational Standards,,,,,,
649,QP-NOS,Construction,Doors & Windows Fixer,CON/Q1105,3,,,,8,,8,1,"5th Class ,Preferably",,,,,,,,,,,,,,,,,,,No,,,12th Meeting,,National Occupational Standards,,,,,,
650,QP-NOS,Construction,Façade Installer,CON/Q1106,3,,,,6,,6,1,"5th Class ,Preferably",86,314,400,,,,,,Yes,,,,,,,,,,No,,,18th Meeting,,National Occupational Standards,,,,,,
651,QP-NOS,Construction,False Ceiling & Drywall Installer,CON/Q1107,3,,,,7,,7,1,"5th Class ,Preferably",80,320,400,,,,,,Yes,Yes,,,,,,,,CON720,Yes,,,20th Meeting,,National Occupational Standards,,,,,,
652,QP-NOS,Construction,Chargehand - Façade Installer,CON/Q1108,4,,,,6,,6,1,"8th Class ,Preferably ",184,416,600,,,,,,Yes,,,,,,,,,,No,,,18th Meeting,,National Occupational Standards,,,,,,
653,QP-NOS,Construction,Chargehand - False Ceiling & Drywall Installer,CON/Q1109,4,,,,7,,7,1,"8th Class ,Preferably ",180,420,600,,,,,,Yes,,,,,,,,,,No,,,19th Meeting,,National Occupational Standards,,,,,,
654,QP-NOS,Construction,Foreman- Façade Installation,CON/Q1110,5,,,,8,,8,1,"10th Class ,Preferably ",,,,,,,,,,,,,,,,,,,No,,,22nd Meeting,,National Occupational Standards,,,,,,
655,QP-NOS,Construction,Foreman- False Ceiling and Drywall Installation,CON/Q1111,5,,,,8,,8,1,"10th Class ,Preferably ",,,,,,,,,,,,,,,,,,,No,,,22nd Meeting,,National Occupational Standards,,,,,In 22nd NSQC Minutes name has been given as - Foreman False Ceiling and Drywall Installer. To be verified by SSC.,
656,QP-NOS,Construction,Supervisor Fabrication,CON/Q1209,6,,,,6,,6,1,Preferably Diploma in Civil / Mechanical,,,,,,,,,,,,,,,,,,,No,,,22nd Meeting,,National Occupational Standards,,,,,,
657,QP-NOS,Construction,Draughtsman,CON/Q1301,4,,,,4,,4,1,ITI/Diploma Civil,,,,,,,,,,,,,,,,,,CON721,No,,,20th Meeting,,National Occupational Standards,,,,,,
658,QP-NOS,Construction,EHS Steward,CON/Q1401,4,,,,5,,5,1,"12th Class ,Preferably and compulsory Certification course in industrial safety",,,,,,,,,,,,,,,,,,,Yes,,,12th Meeting,,National Occupational Standards,,,,,,
659,QP-NOS,Construction,Supervisor - Site EHS ,CON/Q1402,6,,,,6,,6,1,"12th Class ,Preferably and compulsory Certification course F36in industrial safety",504,0,504,,,,496,,Yes,,,,,,,,,,Yes,,,18th Meeting,,National Occupational Standards,,,,,,
660,QP-NOS,Construction,Store Assistant - Construction,CON/Q1501,2,,,,4,,4,1,"10th Class ,Preferably",,,,,,,,,,,,,,,,,,,Yes,,,12th Meeting,,National Occupational Standards,,,,,,
661,QP-NOS,Construction,Junior Store Keeper - Construction,CON/Q1502,5,,,,8,,8,1,"10th Class ,Preferably",,,,,,,,,,,,,,,Addl Ready,,,,No,,,18th Meeting,,National Occupational Standards,,,,,,
662,QP-NOS,Construction,Store Keeper - Construction,CON/Q1503,6,,,,4,,4,1,"Graduate, preferably",,,,,,,,,,,,,,,,,,,No,,,18th Meeting,,National Occupational Standards,,,,,,
663,QP-NOS,Construction,Khalasi (Assistant Rigger),CON/Q0701,2,,,,7,,7,1,"5th Class ,Preferably",,,,,,,,,,,,,,,,,,,No,,,12th Meeting,,National Occupational Standards,,,,,,
664,QP-NOS,Construction,Rigger - Structural Erection,CON/Q0702,3,,,,6,,6,1,"5th Class ,Preferably",,,,,,,,,,,,,,,,,,,No,,,12th Meeting,,National Occupational Standards,,,,,,
665,QP-NOS,Construction,Rigger - Precast Erection,CON/Q0703,3,,,,6,,6,1,"5th Class ,Preferably",,,,,,,,,,,,,,,,,,,No,,,12th Meeting,,National Occupational Standards,,,,,,
666,QP-NOS,Construction,Chargehand - Structural Erection,CON/Q0705,4,,,,6,,6,1,"10th Class,Preferably ",,,,,,,,,,,,,,,,,,,No,,,"18th, 19th Meeting",,National Occupational Standards,,,,,,
667,QP-NOS,Construction,Chargehand - Precast Erection,CON/Q0706,4,,,,6,,6,1,"10th Class ,Preferably",,,,,,,,,,,,,,,,,,,No,,,19th Meeting,,National Occupational Standards,,,,,,
668,QP-NOS,Construction,Chargehand - Piling,CON/Q0707,4,,,,7,,7,1,"8th Class ,Preferably",,,,,,,,,,,,,,,,,,,No,,,19th Meeting,,National Occupational Standards,,,,,,
669,QP-NOS,Construction,Foreman - Erection,CON/Q0708,5,,,,6,,6,1,"10th Class,Preferably ",,,,,,,,,,,,,,,,,,,No,,,"18th, 19th Meeting",,National Occupational Standards,,,,,,
670,QP-NOS,Construction,Supervisor - Erection,CON/Q0709,6,,,,6,,6,1,"12th Class ,Preferably ",,,,,,,,,,,,,,,,,,,No,,,22nd Meeting,,National Occupational Standards,,,,,,
671,QP-NOS,Construction,Construction Painter and Decorator,CON/Q0503,3,,,,7,,7,1,5th Class,80,320,400,,,,,,Yes,Yes,Yes,Yes,Yes,,,Yes,,,Yes,,,17th Meeting,,National Occupational Standards,,,,,,
672,QP-NOS,Construction,Chargehand – Painting & Decorating,CON/Q0504,4,,,,7,,7,1,"8th Class ,Preferably",,,,,,,,,,,,,,,,,,,No,,,20th Meeting,,National Occupational Standards,,,,,,
673,QP-NOS,Construction,Foreman - Painting & Decorating,CON/Q0505,5,,,,7,,7,1,"8th Class ,Preferably",,,,,,,,,,,,,,,,,,,No,,,20th Meeting,,National Occupational Standards,,,,,,
674,QP-NOS,Construction,Helper Fabrication,CON/Q1201,1,,,,3,,3,1,"5th Class ,Preferably",,,,,,,,,,,,,,,,,,,No,,,12th Meeting,,National Occupational Standards,,,,,,
675,QP-NOS,Construction,Assistant Construction Fitter,CON/Q1202,2,,,,5,,5,1,"10th Class,Preferably ",,,,,,,,,,,,,,,,,,,No,,,12th Meeting,,National Occupational Standards,,,,,,
676,QP-NOS,Construction,Grinder-Construction,CON/Q1203,2,,,,4,,4,1,"10th Class,Preferably ",,,,,,,,,,,,,,,,,,,No,,,12th Meeting,,National Occupational Standards,,,,,,
677,QP-NOS,Construction,Tack Welder,CON/Q1251,3,,,,4,,4,1,"10th Class,Preferably ",123,285,408,,,,,,Yes,Yes,,,,,Cat 1 (Phase 1),Yes,,,Yes,,,12th Meeting,,National Occupational Standards,Embedded QP,,,,,
678,QP-NOS,Construction,Construction Fitter,CON/Q1205,3,,,,4,,4,1,"10th Class,Preferably ",,,,,,,,,,,,,,,,,,,Yes,,,19th Meeting,,National Occupational Standards,,,,,,
679,QP-NOS,Construction,Fabricator,CON/Q1206,4,,,,5,,5,1,"12th Class ,Preferably ",184,416,600,,,,,,Yes,Yes,,,,,,,,,No,,,18th Meeting,,National Occupational Standards,,,,,,
680,QP-NOS,Construction,Plasma Cutter,CON/Q1207,4,,,,3,,3,1,"10th Class,Preferably ",,,,,,,,,,,,,,,,,,,No,,,20th Meeting,,National Occupational Standards,,,,,,
681,QP-NOS,Construction,Foreman Fabrication,CON/Q1208,5,,,,7,,7,1,"12th Class ,Preferably ",,,,,,,,,,,,,,,,,,,No,,,19th Meeting,,National Occupational Standards,,,,,,
682,QP-NOS,Construction,Construction Laboratory & Field Technician ,CON/Q0402,4,,,,6,,6,1,"10th Class ,Preferably",,,,,,,,,,,,,,,,,,,No,,,"6th Meeting, 12th Meeting",,National Occupational Standards,,,,,,
683,QP-NOS,Construction,Helper Mason,CON/Q0101,1,,,,5,,5,1,5th Class,52,248,300,,,,,,Yes,Yes,,,,,,,,,Yes,,,"6th Meeting, 12th Meeting",,National Occupational Standards,,,,,,
684,QP-NOS,Construction,Assistant Mason,CON/Q0102,2,,,,6,,6,1, 5th Class ,121,229,350,,,,,,Yes,Yes,,,,,,,,,Yes,,,"6th Meeting, 12th Meeting",,National Occupational Standards,,,,,,
685,QP-NOS,Construction,Mason- Special Finishing,CON/Q0107,4,,,,6,,6,1,"8th Class, Preferably",,,,,,,,,,,,,,,,,,,No,,,9th Meeting,,National Occupational Standards,,,,,,
686,QP-NOS,Construction,Mason Form Finished & Special Concrete,CON/Q0108,4,,,,6,,6,1,"8th Class, Preferably",,,,,,,,,,,,,,,,,,,No,,,9th Meeting,,National Occupational Standards,,,,,,
687,QP-NOS,Construction,Foreman- Concrete,CON/Q0110,5,,,,8,,8,1,"10th Class,Preferably ",300,64,364,,,,436,,Yes,,,,,,,,,CON707,No,,,9th Meeting,,National Occupational Standards,,,,,,
688,QP-NOS,Construction,Helper Bar Bender & Steel Fixer,CON/Q0201,1,,,,6,,6,1,5th Class,33,267,300,,,,,,Yes,Yes,,,,,,,,,Yes,,,"6th Meeting, 12th Meeting",,National Occupational Standards,,,,,,
689,QP-NOS,Construction,Assistant Bar Bender & Steel Fixer,CON/Q0202,2,,,,7,,7,1, 5th Class,72,278,350,,,,,,Yes,,,,,,,,,CON703,Yes,,,"6th Meeting, 12th Meeting",,National Occupational Standards,,,,,,
690,QP-NOS,Construction,Helper Shuttering Carpenter,CON/Q0301,1,,,,5,,5,1,"5th Class ,Preferably",,,,,,,,,,,,,,,,,,,Yes,,,"6th Meeting, 12th Meeting",,National Occupational Standards,,,,,,
691,QP-NOS,Construction,Assistant Shuttering Carpenter,CON/Q0302,2,,,,6,,6,1,"5th Class ,Preferably",75,275,350,,,,,,Yes,,,,,,,,,CON702,Yes,,,"6th Meeting, 12th Meeting",,National Occupational Standards,,,,,,
692,QP-NOS,Construction,Chargehand -Shuttering Carpenter - System,CON/Q0306,4,,,,6,,6,1,"8th Class, Preferably",187,421,608,,,,,,Yes,,,,,,,,,,No,,,9th Meeting,,National Occupational Standards,,,,,,
693,QP-NOS,Construction,Chargehand Shuttering Carpenter - Conventional,CON/Q0311,4,,,,4,,4,1,"8th Class, Preferably",,,,,,,,,,,,,,,,,,,No,,,9th Meeting,,National Occupational Standards,,,,,,
694,QP-NOS,Construction,Assistant Scaffolder - Conventional,CON/Q0313,2,,,,4,,4,1,"5th Class ,Preferably",,,,,,,,,,,,,,,,,,,No,,,9th Meeting,,National Occupational Standards,,,,,,
695,QP-NOS,Construction,Assistant Scaffolder - System,CON/Q0314,2,,,,4,,4,1,"5th Class ,Preferably",,,,,,,,,,,,,,,,,,,Yes,,,12th Meeting,,National Occupational Standards,,,,,,
696,QP-NOS,Construction,Chargehand Scaffolding - System,CON/Q0307,4,,,,5,,5,1,"8th Class, Preferably",,,,,,,,,,,,,,,,,,,No,,,9th Meeting,,National Occupational Standards,,,,,,
697,QP-NOS,Construction,Foreman- Scaffolding,CON/Q0309,5,,,,8,,8,1,"10th Class,Preferably ",,,,,,,,,,,,,,,,,,,No,,,9th Meeting,,National Occupational Standards,,,,,,
698,QP-NOS,Construction,Helper- Construction Laboratory and Field Technician,CON/Q0401,2,,,,4,,4,1,10th Class,60,240,300,,,,,,Yes,,,,,,,,,,No,,,"6th Meeting, 12th Meeting",,National Occupational Standards,,,,,,
699,QP-NOS,Construction,Helper Construction Painter,CON/Q0501,1,,,,4,,4,1,"5th Class ,Preferably",68,232,300,,,,,,Yes,,,,,,,,,,Yes,,,"6th Meeting, 12th Meeting",,National Occupational Standards,,,,,,
700,QP-NOS,Construction,Assistant Construction Painter & Decorator,CON/Q0502,2,,,,6,,6,1, 5th Class,80,270,350,,,,,,Yes,,,,,,,,,,Yes,,,"6th Meeting, 12th Meeting",,National Occupational Standards,,,,,,
701,QP-NOS,Construction,Helper Electrician,CON/Q0601,2,,,,6,,6,1,10th Class,76,274,350,,,,,,Yes,,,,,,,,,,Yes,,,"6th Meeting, 12th Meeting",,National Occupational Standards,,,,,,
702,QP-NOS,Construction,Construction Electrician - LV,CON/Q0603,4,,,,6,,6,1,"10th Class ,Preferably with Low Voltage electrical work license from recognized licensing authority",196,440,636,,,,,,Yes,,,,,,,,,,Yes,,,9th Meeting,,National Occupational Standards,Paired QP 2,,,,,
703,QP-NOS,Construction,Foreman - Electrical Works (Construction),CON/Q0604,5,,,,7,,7,1,"10th Class ,Preferably / Low Voltage license from any Govt. recognized licensing authority",,,,,,,,,,,,,,,,,,,No,,,9th Meeting,,National Occupational Standards,,,,,,
704,QP-NOS,Construction,Shuttering Carpenter - Conventional,CON/Q0310,4,,,,6,,6,1,"5th Class ,Preferably",,,,,,,,,,,,,,,,,,CON710,No,,,9th Meeting,,National Occupational Standards,,,,,,
705,QP-NOS,Construction,Scaffolder Conventional,CON/Q0312,4,,,,5,,5,1,"5th Class ,Preferably",80,320,400,,,,,,Yes,,,,,,,,,,No,,,9th Meeting,,National Occupational Standards,,,,,,
706,QP-NOS,Construction,Rigger - Piling,CON/Q0704,4,,,,6,,6,1,"5th Class ,Preferably",,,,,,,,,,,,,,,,,,,No,,,19th Meeting,,National Occupational Standards,,,,,,
707,QP-NOS,Construction,Rural Mason,CON/Q3603,4,,,,9,,9,1,"5th Class ,Preferably",,,,,,,,,,,,,,,,,Yes,,No,,,15th Meeting,,National Occupational Standards,,,,,,
708,QP-NOS,Construction,Multi Skill Technician - Fabrication,CON/Q1210,3,,,,10,,10,1,10th pass,140,500,640,,,,,,Yes,,,,,,,,,,No,,,19th Meeting,,National Occupational Standards,,,,,,
709,QP-NOS,Construction,Gas Cutter- Construction,CON/Q1204,2,,,,5,,5,1, 8th standard,,,,,,,,,,,,,,,,,,,No,25-Oct-17,,22nd Meeting,,National Occupational Standards,,,,,,
710,QP-NOS,Construction,Construction Welder ,CON/Q1252,4,Elective,3,"E1:  MIG
E2:  TIG
E3:  SMAW",3,6,9,1,10th standard pass,,,,,,,,,,,,,,,,,,,Yes,25-Oct-17,,22nd Meeting,,National Occupational Standards,,,,,,
711,QP-NOS,Construction,Senior Construction Welder ,CON/Q1253,5,Elective,3,"E1:  MIG
E2:  TIG
E3:  SMAW",4,6,10,1,12th standard,,,,,,,,,,,,,,,,,,,No,25-Oct-17,,22nd Meeting,,National Occupational Standards,,,,,,
712,QP-NOS,Construction,Mason Heritage Works (Electives: Lime/ Stone),CON/Q5101,4,Elective,2,"E1: Lime
E2: Stone",5,9,14,1,Basic Literacy,66,124,190,108,312,400,,,Yes,,,,,,,,,,,1-Aug-18,,22nd Meeting,,National Occupational Standards,,,,,,
713,QP-NOS,Construction,Structural Steel NDT Tester,CON/Q3503,3,Elective,3,"E1: UT, E2: MPT, E3: DPT",1,3,4,1,Preferably 10th standard and ASNT level 1 qualified,,,,,,,,,,,,,,,,,,,,,,17th Meeting,,National Occupational Standards,,,,,"Added to QP-NOS list on 23 October 2018. Merged QP of UPT, MPT, DPT.",
714,QP-NOS,Domestic Worker,Child Caretaker (Non Clinical),DWC/Q0201,3,,,,3,,3,1,"5th Class ,Preferably",80,120,200,,,,,,Yes,Yes,,Yes,Yes,Yes,,Yes,,,Yes,,,21st Meeting,,National Occupational Standards,,,,,,
715,QP-NOS,Domestic Worker,General Housekeeper,DWC/Q0102,3,,,,7,,7,1,"5th Class ,Preferably",80,120,200,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,Yes,,,21st Meeting,,National Occupational Standards,,,,,,
716,QP-NOS,Domestic Worker,Housekeeper cum Cook,DWC/Q0101,3,,,,9,,9,1,"5th Class ,Preferably",122,278,400,,,,,144,Yes,Yes,,Yes,Yes,Yes,,Yes,,,Yes,,,21st Meeting,,National Occupational Standards,,,,,,
717,QP-NOS,Domestic Worker,Elderly Caretaker (Non Clinical),DWC/Q0801,3,,,,4,,4,1,"5th Class ,Preferably",80,120,200,,,,,,Yes,Yes,,Yes,Yes,Yes,,Yes,,,Yes,,,21st Meeting,,National Occupational Standards,,,,,,
718,QP-NOS,Domestic Worker,Baby Caregiver,DWC/Q0202,4,,,,6,,6,1,8th Standard,120,240,360,,,,,140,Yes,Yes,Yes,,,,,,,,,4-Jul-18,,22nd Meeting,,National Occupational Standards,,,,,,
719,QP-NOS,Domestic Worker,Caregiver – Mother and Newborn,DWC/Q0203,4,,,,6,,6,1,10th Standard,130,270,400,,,,,,Yes,,,,,,,,,,,4-Jul-18,,22nd Meeting,,National Occupational Standards,,,,,,
720,QP-NOS,Domestic Worker,Household Multipurpose Executive,DWC/Q0103,4,,,,6,,6,1,10th Standard,120,240,360,,,,,150,Yes,,,,,,,,,,,26-Sep-18,,22nd Meeting,,National Occupational Standards,,,,,,
721,QP-NOS,Domestic Worker,Home Cook,DWC/Q1701,4,,,,6,1,7,1,5th Standard Pass,120,220,340,55,120,245,,130,Yes,Yes,,,,,,,,,,4-Jul-18,,22nd Meeting,,National Occupational Standards,,,,,,
722,QP-NOS,Domestic Worker,Caregiver - Person with Disability (Non Clinical),DWC/Q0301,4,,,,8,,8,1,8th Standard pass,150,250,400,,,,,120,Yes,,,,,,,,,,,30-Nov-18,,23rd Meeting (Conditional Approval),,National Occupational Standards,,,,,,
723,QP-NOS,Electronics & Hardware,Access Controls Installation Technician,ELE/Q4608,4,,,,3,,3,1,ITI/Diploma,,,,,,,,,,Yes,,,,,,,,,No,,,8th Meeting,,National Occupational Standards,Embedded QP,,,,,
724,QP-NOS,Electronics & Hardware,Area Sales Officer,ELE/Q7202,5,,,,3,,3,1,Graduate/BE/MTech.,,,,,,,,,,,,,,,,,,,No,,,8th Meeting,,National Occupational Standards,,,,,,
725,QP-NOS,Electronics & Hardware,Assembly Line Operator,ELE/Q4301,4,,,,4,,4,1,12th Class/ITI,,,,,,,,,,,,,,,,,,,No,,,8th Meeting,,National Occupational Standards,,,,,,
726,QP-NOS,Electronics & Hardware,Assembly Operator Capacitor,ELE/Q0113,4,,,,3,,3,1,12th Class/ITI/Diploma,,,,,,,,,,,,,,,,,,,No,,,8th Meeting,,National Occupational Standards,,,,,,
727,QP-NOS,Electronics & Hardware,Energy Meter Assembly Operator,ELE/Q7304,3,,,,3,,3,1,12th Class/ITI/Diploma,,,,,,,,,,,,,,,,,,,No,,,8th Meeting,,National Occupational Standards,Embedded QP,,,,,
728,QP-NOS,Electronics & Hardware,Assembly Operator - PLC,ELE/Q7305,3,,,,4,,4,1,12th Class/ITI/Diploma,,,,,,,,,,,,,,,,,,,No,,,8th Meeting,,National Occupational Standards,,,,,,
729,QP-NOS,Electronics & Hardware,UPS Assembly Operator,ELE/Q7301,3,,,,3,,3,1,10th Class/ITI/Diploma,,,,,,,,,,,,,,,,,,,No,,,8th Meeting,,National Occupational Standards,Embedded QP,,,,,
730,QP-NOS,Electronics & Hardware,Assembly Operator -  PMD and X-Ray,ELE/Q7801,4,,,,5,,5,1,ITI/Diploma,,,,,,,,,,,,,,,,,,,No,,,8th Meeting,,National Occupational Standards,,,,,,
731,QP-NOS,Electronics & Hardware,Assembly Operator - RAC,ELE/Q3501,4,,,,4,,4,1,10th Class/ITI/Diploma,180,180,360,,,,,,Yes,Yes,Yes,,,Yes,Cat 1 (Phase 1),Yes,Shifted,,Yes,,,8th Meeting,,Not approved,,,,,,
732,QP-NOS,Electronics & Hardware,Assembly Operator - TV,ELE/Q3502,4,,,,4,,4,1,10th Class/ITI/Diploma,,,,,,,,,,,,,,,,,,,No,,,8th Meeting,,National Occupational Standards,Embedded QP,,,,,
733,QP-NOS,Electronics & Hardware,Assembly Supervisor,ELE/Q6305,5,,,,3,,3,1,ITI/Diploma,,,,,,,,,,,,,,,,,,,No,,,8th Meeting,,National Occupational Standards,,,,,,
734,QP-NOS,Electronics & Hardware,Automated Optical Inspection Operator,ELE/Q6601,4,,,,3,,3,1,ITI/Diploma,,,,,,,,,,,,,,,,,,,No,,,8th Meeting,,National Occupational Standards,,,,,,
735,QP-NOS,Electronics & Hardware,Auto Tester - Capacitor,ELE/Q0103,4,,,,3,,3,1,ITI/Diploma,,,,,,,,,,,,,,,,,,,No,,,8th Meeting,,National Occupational Standards,,,,,,
736,QP-NOS,Electronics & Hardware,Bare Board Testing Operator,ELE/Q2401,4,,,,3,,3,1,ITI/Diploma,,,,,,,,,,,,,,,,,,,No,,,8th Meeting,,National Occupational Standards,,,,,,
737,QP-NOS,Electronics & Hardware,Box Assembly Operator,ELE/Q7802,4,,,,5,,5,1,12th Class/ITI,,,,,,,,,,,,,,,,,,,No,,,8th Meeting,,National Occupational Standards,,,,,,
738,QP-NOS,Electronics & Hardware,Box-building Assembly Technician,ELE/Q5306,3,,,,3,,3,1,10th/12th Class,,,,,,,,,,,,,,,,,,,No,,,8th Meeting,,National Occupational Standards,Embedded QP,,,,,
739,QP-NOS,Electronics & Hardware,Business Development Executive,ELE/Q1101,5,,,,3,,3,1,BE/Btech,,,,,,,,,,,,,,,,,,,No,,,8th Meeting,,National Occupational Standards,,,,,,
740,QP-NOS,Electronics & Hardware,Calibration Engineer ,ELE/Q8002,4,,,,4,,4,1,ITI/Diploma/BE/Bio-Med Engineer,,,,,,,,,,,,,,,,,,,No,,,8th Meeting,,National Occupational Standards,,,,,,
741,QP-NOS,Electronics & Hardware,Capping Operator,ELE/Q0107,3,,,,3,,3,1,10th/12th Class/ITI,,,,,,,,,,,,,,,,,,,No,,,8th Meeting,,National Occupational Standards,,,,,,
